id,dispositivo_id,dia_semana,hora_inicio,hora_fin,estado_esperado
H-0096,D-0004,Wednesday,00:00:00,07:59:59,Apagado
H-0097,D-0004,Thursday,08:00:00,12:59:59,Encendido
H-0098,D-0004,Thursday,13:00:00,14:59:59,Apagado
H-0099,D-0004,Thursday,15:00:00,17:59:59,Encendido
H-0100,D-0004,Thursday,18:00:00,23:59:59,Apagado
H-0101,D-0004,Thursday,00:00:00,07:59:59,Apagado
H-0102,D-0004,Friday,08:00:00,12:59:59,Encendido
H-0103,D-0004,Friday,13:00:00,14:59:59,Apagado
H-0104,D-0004,Friday,15:00:00,17:59:59,Encendido
H-0105,D-0004,Friday,18:00:00,23:59:59,Apagado
H-0106,D-0004,Friday,00:00:00,07:59:59,Apagado
H-0107,D-0004,Saturday,00:00:00,23:59:59,Apagado
H-0108,D-0004,Sunday,00:00:00,23:59:59,Apagado
H-0129,D-0005,Saturday,18:00:00,23:59:59,Apagado
H-0130,D-0005,Saturday,00:00:00,07:59:59,Apagado
H-0131,D-0006,Monday,08:00:00,12:59:59,Encendido
H-0132,D-0006,Monday,13:00:00,13:59:59,Encendido
H-0133,D-0006,Monday,14:00:00,17:59:59,Encendido
H-0134,D-0006,Monday,18:00:00,23:59:59,Apagado
H-0135,D-0006,Monday,00:00:00,07:59:59,Apagado
H-0136,D-0006,Tuesday,08:00:00,12:59:59,Encendido
H-0137,D-0006,Tuesday,13:00:00,13:59:59,Encendido
H-0138,D-0006,Tuesday,14:00:00,17:59:59,Encendido
H-0139,D-0006,Tuesday,18:00:00,23:59:59,Apagado
H-0140,D-0006,Tuesday,00:00:00,07:59:59,Apagado
H-0141,D-0006,Wednesday,08:00:00,12:59:59,Encendido
H-0142,D-0006,Wednesday,13:00:00,13:59:59,Encendido
H-0143,D-0006,Wednesday,14:00:00,17:59:59,Encendido
H-0144,D-0006,Wednesday,18:00:00,23:59:59,Apagado
H-0145,D-0006,Wednesday,00:00:00,07:59:59,Apagado
H-0146,D-0006,Thursday,08:00:00,12:59:59,Encendido
H-0147,D-0006,Thursday,13:00:00,13:59:59,Encendido
H-0148,D-0006,Thursday,14:00:00,17:59:59,Encendido
H-0149,D-0006,Thursday,18:00:00,23:59:59,Apagado
H-0150,D-0006,Thursday,00:00:00,07:59:59,Apagado
H-0151,D-0006,Friday,08:00:00,12:59:59,Encendido
H-0152,D-0006,Friday,13:00:00,13:59:59,Encendido
H-0153,D-0006,Friday,14:00:00,17:59:59,Encendido
H-0154,D-0006,Friday,18:00:00,23:59:59,Apagado
H-0155,D-0006,Friday,00:00:00,07:59:59,Apagado
H-0156,D-0006,Saturday,08:00:00,12:59:59,Encendido
H-0157,D-0006,Saturday,13:00:00,13:59:59,Encendido
H-0158,D-0006,Saturday,14:00:00,17:59:59,Encendido
H-0159,D-0006,Saturday,18:00:00,23:59:59,Apagado
H-0160,D-0006,Saturday,00:00:00,07:59:59,Apagado
H-0161,D-0006,Sunday,08:00:00,12:59:59,Encendido
H-0162,D-0006,Sunday,13:00:00,13:59:59,Encendido
H-0163,D-0006,Sunday,14:00:00,17:59:59,Encendido
H-0164,D-0006,Sunday,18:00:00,23:59:59,Apagado
H-0165,D-0006,Sunday,00:00:00,07:59:59,Apagado
H-0166,D-0007,Monday,08:00:00,12:59:59,Encendido
H-0167,D-0007,Monday,13:00:00,14:59:59,Apagado
H-0168,D-0007,Monday,15:00:00,17:59:59,Encendido
H-0169,D-0007,Monday,18:00:00,23:59:59,Apagado
H-0170,D-0007,Monday,00:00:00,07:59:59,Apagado
H-0171,D-0007,Tuesday,08:00:00,12:59:59,Encendido
H-0172,D-0007,Tuesday,13:00:00,14:59:59,Apagado
H-0173,D-0007,Tuesday,15:00:00,17:59:59,Encendido
H-0174,D-0007,Tuesday,18:00:00,23:59:59,Apagado
H-0175,D-0007,Tuesday,00:00:00,07:59:59,Apagado
H-0176,D-0007,Wednesday,08:00:00,12:59:59,Encendido
H-0177,D-0007,Wednesday,13:00:00,14:59:59,Apagado
H-0178,D-0007,Wednesday,15:00:00,17:59:59,Encendido
H-0179,D-0007,Wednesday,18:00:00,23:59:59,Apagado
H-0180,D-0007,Wednesday,00:00:00,07:59:59,Apagado
H-0181,D-0007,Thursday,08:00:00,12:59:59,Encendido
H-0182,D-0007,Thursday,13:00:00,14:59:59,Apagado
H-0183,D-0007,Thursday,15:00:00,17:59:59,Encendido
H-0184,D-0007,Thursday,18:00:00,23:59:59,Apagado
H-0185,D-0007,Thursday,00:00:00,07:59:59,Apagado
H-0186,D-0007,Friday,08:00:00,12:59:59,Encendido
H-0187,D-0007,Friday,13:00:00,14:59:59,Apagado
H-0188,D-0007,Friday,15:00:00,17:59:59,Encendido
H-0189,D-0007,Friday,18:00:00,23:59:59,Apagado
H-0190,D-0007,Friday,00:00:00,07:59:59,Apagado
H-0191,D-0007,Saturday,00:00:00,23:59:59,Apagado
H-0192,D-0007,Sunday,00:00:00,23:59:59,Apagado
H-0193,D-0008,Monday,08:00:00,12:59:59,Encendido
H-0194,D-0008,Monday,13:00:00,14:59:59,Apagado
H-0195,D-0008,Monday,15:00:00,17:59:59,Encendido
H-0196,D-0008,Monday,18:00:00,23:59:59,Apagado
H-0197,D-0008,Monday,00:00:00,07:59:59,Apagado
H-0198,D-0008,Tuesday,08:00:00,12:59:59,Encendido
H-0199,D-0008,Tuesday,13:00:00,14:59:59,Apagado
H-0200,D-0008,Tuesday,15:00:00,17:59:59,Encendido
H-0201,D-0008,Tuesday,18:00:00,23:59:59,Apagado
H-0202,D-0008,Tuesday,00:00:00,07:59:59,Apagado
H-0203,D-0008,Wednesday,08:00:00,12:59:59,Encendido
H-0204,D-0008,Wednesday,13:00:00,14:59:59,Apagado
H-0205,D-0008,Wednesday,15:00:00,17:59:59,Encendido
H-0206,D-0008,Wednesday,18:00:00,23:59:59,Apagado
H-0207,D-0008,Wednesday,00:00:00,07:59:59,Apagado
H-0210,D-0008,Friday,08:00:00,12:59:59,Encendido
H-0211,D-0008,Friday,13:00:00,14:59:59,Apagado
H-0212,D-0008,Friday,15:00:00,17:59:59,Encendido
H-0213,D-0008,Friday,18:00:00,23:59:59,Apagado
H-0214,D-0008,Friday,00:00:00,07:59:59,Apagado
H-0215,D-0008,Saturday,00:00:00,23:59:59,Apagado
H-0216,D-0008,Sunday,00:00:00,23:59:59,Apagado
H-0217,D-0009,Monday,08:00:00,12:59:59,Encendido
H-0218,D-0009,Monday,13:00:00,14:59:59,Apagado
H-0219,D-0009,Monday,15:00:00,17:59:59,Encendido
H-0220,D-0009,Monday,18:00:00,23:59:59,Apagado
H-0221,D-0009,Monday,00:00:00,07:59:59,Apagado
H-0222,D-0009,Tuesday,08:00:00,12:59:59,Encendido
H-0223,D-0009,Tuesday,13:00:00,14:59:59,Apagado
H-0224,D-0009,Tuesday,15:00:00,17:59:59,Encendido
H-0225,D-0009,Tuesday,18:00:00,23:59:59,Apagado
H-0226,D-0009,Tuesday,00:00:00,07:59:59,Apagado
H-0227,D-0009,Wednesday,08:00:00,12:59:59,Encendido
H-0228,D-0009,Wednesday,13:00:00,14:59:59,Apagado
H-0229,D-0009,Wednesday,15:00:00,17:59:59,Encendido
H-0230,D-0009,Wednesday,18:00:00,23:59:59,Apagado
H-0231,D-0009,Wednesday,00:00:00,07:59:59,Apagado
H-0232,D-0009,Thursday,08:00:00,12:59:59,Encendido
H-0233,D-0009,Thursday,13:00:00,14:59:59,Apagado
H-0234,D-0009,Thursday,15:00:00,17:59:59,Encendido
H-0235,D-0009,Thursday,18:00:00,23:59:59,Apagado
H-0236,D-0009,Thursday,00:00:00,07:59:59,Apagado
H-0237,D-0009,Friday,08:00:00,12:59:59,Encendido
H-0238,D-0009,Friday,13:00:00,14:59:59,Apagado
H-0239,D-0009,Friday,15:00:00,17:59:59,Encendido
H-0240,D-0009,Friday,18:00:00,23:59:59,Apagado
H-0241,D-0009,Friday,00:00:00,07:59:59,Apagado
H-0242,D-0009,Saturday,00:00:00,23:59:59,Apagado
H-0243,D-0009,Sunday,00:00:00,23:59:59,Apagado
H-0244,D-0010,Monday,00:00:00,23:59:59,Encendido
H-0245,D-0010,Tuesday,00:00:00,23:59:59,Encendido
H-0246,D-0010,Wednesday,00:00:00,23:59:59,Encendido
H-0247,D-0010,Thursday,00:00:00,23:59:59,Encendido
H-0248,D-0010,Friday,00:00:00,23:59:59,Encendido
H-0249,D-0010,Saturday,00:00:00,23:59:59,Apagado
H-0250,D-0010,Sunday,00:00:00,23:59:59,Apagado
H-0251,D-0011,Monday,00:00:00,23:59:59,Encendido
H-0252,D-0011,Tuesday,00:00:00,23:59:59,Encendido
H-0253,D-0011,Wednesday,00:00:00,23:59:59,Encendido
H-0254,D-0011,Thursday,00:00:00,23:59:59,Encendido
H-0255,D-0011,Friday,00:00:00,23:59:59,Encendido
H-0256,D-0011,Saturday,00:00:00,23:59:59,Apagado
H-0257,D-0011,Sunday,00:00:00,23:59:59,Apagado
H-0258,D-0012,Monday,08:00:00,12:59:59,Encendido
H-0259,D-0012,Monday,13:00:00,14:59:59,Apagado
H-0260,D-0012,Monday,15:00:00,17:59:59,Encendido
H-0261,D-0012,Monday,18:00:00,23:59:59,Apagado
H-0262,D-0012,Monday,00:00:00,07:59:59,Apagado
H-0263,D-0012,Tuesday,08:00:00,12:59:59,Encendido
H-0264,D-0012,Tuesday,13:00:00,14:59:59,Apagado
H-0265,D-0012,Tuesday,15:00:00,17:59:59,Encendido
H-0266,D-0012,Tuesday,18:00:00,23:59:59,Apagado
H-0267,D-0012,Tuesday,00:00:00,07:59:59,Apagado
H-0268,D-0012,Wednesday,08:00:00,12:59:59,Encendido
H-0269,D-0012,Wednesday,13:00:00,14:59:59,Apagado
H-0270,D-0012,Wednesday,15:00:00,17:59:59,Encendido
H-0271,D-0012,Wednesday,18:00:00,23:59:59,Apagado
H-0272,D-0012,Wednesday,00:00:00,07:59:59,Apagado
H-0273,D-0012,Thursday,08:00:00,12:59:59,Encendido
H-0274,D-0012,Thursday,13:00:00,14:59:59,Apagado
H-0275,D-0012,Thursday,15:00:00,17:59:59,Encendido
H-0276,D-0012,Thursday,18:00:00,23:59:59,Apagado
H-0277,D-0012,Thursday,00:00:00,07:59:59,Apagado
H-0278,D-0012,Friday,08:00:00,12:59:59,Encendido
H-0279,D-0012,Friday,13:00:00,14:59:59,Apagado
H-0280,D-0012,Friday,15:00:00,17:59:59,Encendido
H-0281,D-0012,Friday,18:00:00,23:59:59,Apagado
H-0282,D-0012,Friday,00:00:00,07:59:59,Apagado
H-0283,D-0012,Saturday,00:00:00,23:59:59,Apagado
H-0284,D-0012,Sunday,00:00:00,23:59:59,Apagado
H-0285,D-0013,Monday,00:00:00,23:59:59,Encendido
H-0286,D-0013,Tuesday,00:00:00,23:59:59,Encendido
H-0287,D-0013,Wednesday,00:00:00,23:59:59,Encendido
H-0288,D-0013,Thursday,00:00:00,23:59:59,Encendido
H-0289,D-0013,Friday,00:00:00,23:59:59,Encendido
H-0290,D-0013,Saturday,00:00:00,23:59:59,Apagado
H-0291,D-0013,Sunday,00:00:00,23:59:59,Apagado
H-0292,D-0014,Monday,00:00:00,23:59:59,Encendido
H-0293,D-0014,Tuesday,00:00:00,23:59:59,Encendido
H-0294,D-0014,Wednesday,00:00:00,23:59:59,Encendido
H-0295,D-0014,Thursday,00:00:00,23:59:59,Encendido
H-0296,D-0014,Friday,00:00:00,23:59:59,Encendido
H-0297,D-0014,Saturday,00:00:00,23:59:59,Apagado
H-0298,D-0014,Sunday,00:00:00,23:59:59,Apagado
H-0299,D-0015,Monday,00:00:00,23:59:59,Encendido
H-0300,D-0015,Tuesday,00:00:00,23:59:59,Encendido
H-0301,D-0015,Wednesday,00:00:00,23:59:59,Encendido
H-0302,D-0015,Thursday,00:00:00,23:59:59,Encendido
H-0303,D-0015,Friday,00:00:00,23:59:59,Encendido
H-0304,D-0015,Saturday,00:00:00,23:59:59,Apagado
H-0305,D-0015,Sunday,00:00:00,23:59:59,Apagado
